Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Sinangag (Garlic Fried Rice),Breakfast,1 cup (150g),200,40,4,3,"Paired with tapa, tocino, or longganisa"
Longganisa w/ Rice,Breakfast,1 link + 1 cup rice,450,55,15,20,Common silog breakfast
Tapsilog,Breakfast,1 set,650,60,30,25,Tapa + sinangag + itlog
Tocilog,Breakfast,1 set,620,62,26,24,Tocino + sinangag + itlog
Bangsilog,Breakfast,1 set,550,58,27,18,Bangus + sinangag + itlog
Hotsilog,Breakfast,1 set,520,60,18,20,Hotdog + sinangag + itlog
Spamsilog,Breakfast,1 set,700,62,22,35,Spam + sinangag + itlog
Cornsilog,Breakfast,1 set,600,63,20,24,Corned beef + sinangag + itlog
Baconsilog,Breakfast,1 set,680,60,24,35,Bacon + sinangag + itlog
Dangsilog,Breakfast,1 set,530,58,25,18,Dried fish + sinangag + itlog
Adobolog,Breakfast,1 set,640,61,28,24,Adobo + sinangag + itlog
Lugaw (Rice Porridge),Breakfast/Snack,1 bowl (200g),180,38,4,2,Light meal or merienda
Goto (Tripe Porridge),Breakfast/Snack,1 bowl (250g),260,40,12,6,With beef tripe
Arroz Caldo (Chicken),Breakfast/Snack,1 bowl (250g),300,42,16,8,Ginger rice porridge
Champorado,Breakfast,1 bowl (200g),250,55,6,4,Chocolate rice porridge
Pandesal,Breakfast,1 piece (30g),90,18,3,1,Eaten with coffee
Taho,Breakfast/Snack,1 cup (250ml),180,30,6,3,Soft tofu with arnibal & sago
Omelette w/ Tomatoes,Breakfast,1 serving,220,5,14,16,Simple Filipino omelette
Tortang Talong,Breakfast/Lunch,1 piece (150g),230,12,10,15,Eggplant omelette
Tortang Giniling,Breakfast/Lunch,1 slice (150g),320,10,18,22,Ground pork omelette
Pancit Canton,Snack/Lunch,1 plate (250g),400,55,18,12,Stir-fried egg noodles
Pancit Bihon,Snack/Lunch,1 plate (250g),380,58,15,10,Rice noodles with veg & meat
Pancit Malabon,Snack/Lunch,1 plate (250g),420,60,20,14,Seafood pancit
Pancit Palabok,Snack/Lunch,1 plate (250g),450,62,18,14,"Shrimp sauce, chicharon, egg"
Pancit Habhab (Lucban),Snack/Lunch,1 plate (250g),380,56,16,10,Served on banana leaf
Sotanghon Guisado,Snack/Lunch,1 plate (250g),360,54,16,8,Glass noodles stir-fry
Lomi (Batangas),Lunch/Dinner,1 bowl (300g),480,62,20,16,Thick egg noodle soup
Batchoy (La Paz),Lunch/Dinner,1 bowl (300g),520,48,22,22,With pork innards & chicharon
Sopas (Macaroni Soup),Snack/Lunch,1 bowl (300g),350,42,16,12,Creamy chicken macaroni soup
Adobo (Chicken),Lunch/Dinner,1 cup (200g),250,5,25,15,Soy-vinegar stew
Adobo (Pork),Lunch/Dinner,1 cup (200g),330,6,28,22,Classic ulam
Adobo sa Gata,Lunch/Dinner,1 cup (200g),380,8,26,26,Adobo with coconut milk
Adobong Puti,Lunch/Dinner,1 cup (200g),300,4,27,18,Adobo without soy sauce
Paksiw na Lechon,Lunch/Dinner,1 cup (200g),420,10,24,30,Lechon in vinegar sauce
Paksiw na Isda,Lunch/Dinner,1 cup (200g),220,4,24,12,Fish stewed in vinegar
Kare-Kare,Lunch/Dinner,1 cup stew + 1 cup rice,700,65,30,35,"Peanut stew, bagoong on side"
Caldereta (Beef),Lunch/Dinner,1 cup (200g),350,18,26,20,Tomato-based beef stew
Menudo (Pork),Lunch/Dinner,1 cup (200g),280,12,22,18,Tomato-based pork stew
Afritada (Chicken),Lunch/Dinner,1 cup (200g),290,15,23,14,Chicken in tomato sauce
Mechado (Beef),Lunch/Dinner,1 cup (200g),340,16,26,18,Beef stew with larded pork
Bicol Express,Lunch/Dinner,1 cup (150g),400,12,18,30,Spicy pork in coconut milk
Laing,Lunch/Dinner,1 cup (150g),350,20,10,28,Dried taro leaves in coconut
Pinakbet (Ilocano),Lunch/Dinner,1 cup (200g),180,20,8,6,Veg stew with bagoong
Dinengdeng,Lunch/Dinner,1 bowl (250g),160,18,10,5,Light veg soup with grilled fish
