"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Sinangag (Garlic Fried Rice)",Breakfast,"1 cup (150g)",200,40,4,3,"Paired with tapa, tocino, or longganisa","Garlic, Rice, Cooking oil, Salt, Black pepper, Onion (optional)"
"Longganisa w/ Rice",Breakfast,"1 link + 1 cup rice",450,55,15,20,"Common silog breakfast","Longganisa, Rice"
Tapsilog,Breakfast,"1 set",650,60,30,25,"Tapa + sinangag + itlog","Beef tapa, Garlic fried rice, Egg, Cooking oil, Salt, Black pepper"
Tocilog,Breakfast,"1 set",620,62,26,24,"Tocino + sinangag + itlog","Pork tocino, Garlic fried rice, Egg, Cooking oil, Salt, Sugar"
Bangsilog,Breakfast,"1 set",550,58,27,18,"Bangus + sinangag + itlog","Bangus (milkfish), Garlic fried rice, Egg, Cooking oil, Salt, Calamansi"
Hotsilog,Breakfast,"1 set",520,60,18,20,"Hotdog + sinangag + itlog","Hotdog, Garlic fried rice, Egg, Cooking oil, Salt"
Spamsilog,Breakfast,"1 set",700,62,22,35,"Spam + sinangag + itlog","Spam, Garlic fried rice, Egg, Cooking oil, Salt"
Cornsilog,Breakfast,"1 set",600,63,20,24,"Corned beef + sinangag + itlog","Corned beef, Garlic fried rice, Egg, Cooking oil, Onion, Garlic"
Baconsilog,Breakfast,"1 set",680,60,24,35,"Bacon + sinangag + itlog","Bacon, Garlic fried rice, Egg, Cooking oil, Salt"
Dangsilog,Breakfast,"1 set",530,58,25,18,"Dried fish + sinangag + itlog","Dried fish, Garlic fried rice, Egg, Cooking oil, Salt"
Adobolog,Breakfast,"1 set",640,61,28,24,"Adobo + sinangag + itlog","Adobo (chicken or pork), Garlic fried rice, Egg, Cooking oil"
"Lugaw (Rice Porridge)",Breakfast/Snack,"1 bowl (200g)",180,38,4,2,"Light meal or merienda","Rice, Water, Salt, Garlic, Ginger, Spring onion, Fried garlic, Chicken stock (optional)"
"Goto (Tripe Porridge)",Breakfast/Snack,"1 bowl (250g)",260,40,12,6,"With beef tripe","Rice, Beef tripe, Water, Salt, Garlic, Ginger, Onion, Spring onion, Fish sauce, Black pepper"
"Arroz Caldo (Chicken)",Breakfast/Snack,"1 bowl (250g)",300,42,16,8,"Ginger rice porridge","Rice, Chicken, Water, Ginger, Garlic, Onion, Spring onion, Fish sauce, Saffron or turmeric, Salt, Black pepper"
Champorado,Breakfast,"1 bowl (200g)",250,55,6,4,"Chocolate rice porridge","Rice, Cocoa powder or tablea, Sugar, Water, Evaporated milk (optional)"
Pandesal,Breakfast,"1 piece (30g)",90,18,3,1,"Eaten with coffee","Flour, Yeast, Sugar, Salt, Butter or margarine, Eggs, Milk, Breadcrumbs"
